Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1905.00,0.0292500,0.285079,-0.247118,66.6222,0.0673540,0.0707375,0.0146332,0.0121718
1906.00,0.0592500,0.389716,-0.255172,68.1258,0.0756919,0.0788480,0.0313552,0.0326763
1907.00,-0.0907500,0.369500,-0.263153,69.7135,0.0846431,0.0875605,0.0493352,0.0547072
1908.00,-0.160750,0.386643,-0.263656,71.2749,0.0926224,0.0953455,0.0650293,0.0739203
1909.00,-0.190750,0.452580,-0.261517,72.8773,0.101087,0.103609,0.0824062,0.0951815
1910.00,-0.170750,0.474067,-0.264995,74.5183,0.110082,0.112393,0.101399,0.118407
1911.00,-0.190750,0.475024,-0.264612,76.1332,0.118481,0.120613,0.119150,0.140095
1912.00,-0.100750,0.237872,-0.260444,77.7600,0.121988,0.124122,0.125431,0.147707
1913.00,-0.0807500,0.142892,-0.259409,79.4260,0.119549,0.121894,0.117620,0.138044
1914.00,0.0392500,0.387926,-0.255601,80.9908,0.119846,0.122304,0.116896,0.137074
1915.00,0.159250,0.544847,-0.250078,82.5345,0.126725,0.129068,0.132818,0.156507
1916.00,-0.0507500,0.619466,-0.251064,84.1437,0.136660,0.138789,0.156511,0.185449
1917.00,-0.130750,0.655080,-0.254376,85.8099,0.147368,0.149267,0.182000,0.216571
1918.00,0.00925000,0.662550,-0.255447,87.4602,0.157646,0.159344,0.206356,0.246282
1919.00,0.00925000,0.640626,-0.250501,88.9858,0.166520,0.168076,0.227535,0.272077
1920.00,0.0692500,0.538608,-0.249196,90.6391,0.172305,0.173839,0.241484,0.288993
1921.00,0.149250,0.513908,-0.247666,92.1995,0.175330,0.176942,0.248824,0.297797
1922.00,0.0292500,0.599174,-0.244542,93.7925,0.179000,0.180672,0.257949,0.308783
1923.00,0.0892500,0.618842,-0.255042,95.5158,0.184082,0.185768,0.270223,0.323620
1924.00,0.0392500,0.621606,-0.263123,97.2356,0.189140,0.190847,0.281713,0.337486
1925.00,0.139250,0.656901,-0.263141,98.9687,0.194350,0.196079,0.293358,0.351532
1926.00,0.239250,0.701245,-0.263762,100.713,0.200325,0.202054,0.306985,0.367999
1927.00,0.139250,0.721251,-0.268094,102.572,0.206762,0.208482,0.321668,0.385748
1928.00,0.129250,0.674629,-0.272843,104.437,0.212132,0.213886,0.333506,0.399997
1929.00,-0.000750003,0.624013,-0.275840,106.406,0.215368,0.217238,0.339968,0.407648
1930.00,0.229250,0.652519,-0.275574,108.355,0.217917,0.219928,0.344811,0.413310
1931.00,0.259250,0.678528,-0.269673,110.198,0.221055,0.223190,0.351515,0.421249
1932.00,0.219250,0.645150,-0.263158,111.858,0.223635,0.225917,0.357483,0.428281
1933.00,0.0592500,0.656846,-0.260836,113.559,0.225512,0.227967,0.362141,0.433704
1934.00,0.219250,0.717064,-0.263252,115.329,0.228396,0.230990,0.369264,0.442144
1935.00,0.169250,0.773297,-0.265242,117.151,0.232949,0.235628,0.380304,0.455380
1936.00,0.209250,0.831551,-0.268246,119.082,0.238960,0.241677,0.394737,0.472765
1937.00,0.329250,0.845050,-0.269306,121.071,0.245547,0.248289,0.410469,0.491731
1938.00,0.309250,0.833606,-0.261495,122.995,0.251398,0.254197,0.424742,0.508895
1939.00,0.299250,0.837512,-0.256511,124.966,0.256386,0.259279,0.437452,0.524132
1940.00,0.399250,0.848384,-0.260351,127.032,0.261076,0.264078,0.449446,0.538480
1941.00,0.399250,0.840653,-0.266567,129.116,0.265400,0.268528,0.460103,0.551181
1942.00,0.329250,0.796379,-0.271949,131.227,0.268495,0.271798,0.467296,0.559629
1943.00,0.369250,0.772910,-0.274817,133.382,0.270210,0.273737,0.470839,0.563598
1944.00,0.509250,0.801498,-0.278784,135.534,0.271897,0.275652,0.474131,0.567257
1945.00,0.369250,0.840125,-0.283026,137.463,0.274605,0.278552,0.479698,0.573703
1946.00,0.279250,0.874348,-0.291048,139.543,0.278347,0.282453,0.487437,0.582808
1947.00,0.299250,0.889470,-0.304166,141.805,0.282690,0.286938,0.495970,0.592880
1948.00,0.309250,0.898865,-0.317167,144.149,0.287197,0.291585,0.504099,0.602451
1949.00,0.239250,0.878521,-0.324644,146.450,0.291214,0.295763,0.510541,0.609949
1950.00,0.149250,0.841639,-0.332793,148.973,0.293985,0.298743,0.513699,0.613417
1951.00,0.319250,0.801351,-0.356395,151.829,0.295451,0.300466,0.512798,0.611908
1952.00,0.369250,0.766310,-0.380510,154.735,0.295922,0.301229,0.508035,0.605671
1953.00,0.439250,0.746104,-0.393785,157.680,0.295757,0.301378,0.500867,0.596490
1954.00,0.219250,0.754805,-0.406598,160.698,0.295659,0.301591,0.493567,0.587156
1955.00,0.149250,0.815376,-0.419692,163.932,0.296964,0.303155,0.489441,0.581721
1956.00,0.0892500,0.899099,-0.433029,167.354,0.300766,0.307131,0.491178,0.583477
1957.00,0.339250,0.966800,-0.446514,170.896,0.306908,0.313370,0.498412,0.591969
1958.00,0.389250,0.982448,-0.455691,174.546,0.313966,0.320498,0.507848,0.603156
1959.00,0.339250,0.968833,-0.456425,178.211,0.320377,0.327010,0.516194,0.612998
1960.00,0.289250,0.880203,-0.455518,181.981,0.324398,0.331222,0.519531,0.616697
1961.00,0.369250,0.751567,-0.471833,185.819,0.324513,0.331667,0.513417,0.608810
1962.00,0.359250,0.645151,-0.491885,189.755,0.321034,0.328643,0.497747,0.589220
1963.00,0.389250,0.162053,-0.501355,193.847,0.308411,0.316788,0.459290,0.541716
1964.00,0.0992500,-0.185672,-0.510162,198.106,0.283557,0.293110,0.390969,0.457648
1965.00,0.199250,0.162675,-0.517385,202.516,0.261638,0.272235,0.329969,0.382617
1966.00,0.269250,0.593344,-0.524162,207.114,0.255252,0.266325,0.307191,0.354487
1967.00,0.259250,0.768755,-0.533254,211.823,0.259807,0.270965,0.311319,0.359355
1968.00,0.229250,0.609199,-0.541248,216.646,0.264279,0.275531,0.315325,0.364070
1969.00,0.349250,0.575317,-0.543797,221.685,0.265143,0.276618,0.310836,0.358372
1970.00,0.299250,0.847402,-0.536648,226.958,0.269854,0.281419,0.316671,0.365330
1971.00,0.159250,1.03702,-0.526072,232.260,0.281589,0.293004,0.341050,0.395012
1972.00,0.259250,1.09744,-0.527394,237.706,0.296118,0.307299,0.373134,0.434116
1973.00,0.389250,1.06245,-0.537248,243.374,0.309565,0.320568,0.402518,0.469883
1974.00,0.119250,0.915371,-0.547795,249.057,0.318680,0.329669,0.420873,0.492106
1975.00,0.199250,0.821770,-0.559424,254.703,0.322985,0.334139,0.427002,0.499329
1976.00,0.0992500,0.977694,-0.575790,260.677,0.328104,0.339398,0.434474,0.508195
1977.00,0.389250,1.19883,-0.591670,266.800,0.339215,0.350446,0.455866,0.534115
1978.00,0.269250,1.27583,-0.597912,272.995,0.354256,0.365299,0.486634,0.571507
1979.00,0.389250,1.35619,-0.600988,279.447,0.370341,0.381178,0.520273,0.612391
1980.00,0.429250,1.46606,-0.613143,285.804,0.387952,0.398547,0.557688,0.657876
1981.00,0.479250,1.40776,-0.631920,292.017,0.404745,0.415147,0.592505,0.700142
1982.00,0.349250,0.714776,-0.654203,298.334,0.407547,0.418263,0.592134,0.699251
1983.00,0.519250,0.408766,-0.674795,304.670,0.393813,0.405421,0.550353,0.647611
1984.00,0.319250,0.951877,-0.686560,311.220,0.385853,0.398133,0.522268,0.612797
1985.00,0.309250,1.25132,-0.694201,317.939,0.392981,0.405397,0.531264,0.623456
1986.00,0.379250,1.34237,-0.701882,324.836,0.405966,0.418321,0.554917,0.652071
1987.00,0.529250,1.43528,-0.712199,331.883,0.420743,0.432989,0.583144,0.686274
1988.00,0.529250,1.57609,-0.721082,339.164,0.437952,0.450021,0.617447,0.727898
1989.00,0.459250,1.70061,-0.726259,346.577,0.457805,0.469626,0.658547,0.777824
